Row_no,Offspring.ID,Candidate.mother.ID
348,KB_NF_202_KB_Ma_103,KB_Mu2_160
6833,KB_NF_201_KB_Ma_102,KB_Mp_122
332,KB_NF_194_KB_NF_200_KB_Ma_97,KB_Chim_30_Chim_4
59,KB_Na_191_KB_Na_193,KB_Na_192
1927,KB_Na_187_KB_Na_188,KB_Mu2_155_KB_Mu2_159
58,KB_Na_185,KB_Na_171_KB_Na_173_KB_Na_174_KB_Na_175_KB_Na_176
57,KB_Na_169_KB_Na_170_KB_Na_180,KB_Na_181
356,KB_Na_168_KB_Na_172,KB_Mu2_155_KB_Mu2_159
55,KB_Na_166,KB_Na_171_KB_Na_173_KB_Na_174_KB_Na_175_KB_Na_176
49,KB_Mu2_163,KB_Mu2_155_KB_Mu2_159
1684,KB_Mu2_161,KB_Chim_33
1678,KB_Mu2_160,KB_NF_202_KB_Ma_103
46,KB_Mu2_155_KB_Mu2_159,KB_Na_168_KB_Na_172
45,KB_Mu2_154_KB_Mu2_158,KB_Mu2_155_KB_Mu2_159
44,KB_Mu1_150_KB_La_93,KB_Mp_136
43,KB_Mu1_146,KB_Mu1_147_KB_La_95
1546,KB_Mu1_144_KB_La_89_KB_La_90_KB_La_91,KB_Chim_30_Chim_4
42,KB_Mu1_142,KB_Mu1_143_KB_La_87
41,KB_Mp_134,KB_Mp_137
40,KB_Mp_132_KB_Mp_138_KB_Mp_139,KB_Na_192
39,KB_Mp_129_KB_Mp_130,KB_Mp_127
37,KB_Mp_125_KB_Mp_126,KB_Mp_128
270,KB_Mp_122,KB_NF_201_KB_Ma_102
36,KB_Mp_121,KB_Mp_122
35,KB_Ma_119,KB_Chim_23_Chim_5_Chim_12
34,KB_Ma_118,KB_NF_199_KB_Ma_104
261,KB_Ma_117,KB_NF_194_KB_NF_200_KB_Ma_97
32,KB_Ma_116,KB_Mu1_144_KB_La_89_KB_La_90_KB_La_91
31,KB_Ma_111,KB_Mu1_144_KB_La_89_KB_La_90_KB_La_91
235,KB_Ma_110_KB_Ma_115,KB_Na_168_KB_Na_172
231,KB_Ma_109,KB_Mu1_144_KB_La_89_KB_La_90_KB_La_91
30,KB_Chim_84,KB_Mu1_147_KB_La_95
29,KB_Chim_78_KB_Chim_79_Chim_8,KB_Chim_32_KB_Mp_131_KB_Mp_135
24,KB_Chim_73_KB_Chim_74_Chim_1,KB_Chim_23_Chim_5_Chim_12
23,KB_Chim_71_Chim_17,KB_Chim_31_Chim_19_Chim_9
20,KB_Chim_68,KB_Chim_30_Chim_4
12,KB_Chim_56_KB_Chim_57_KB_Chim_58,KB_Chim_32_KB_Mp_131_KB_Mp_135
11,KB_Chim_54_KB_Chim_55_Chim_10,KB_Chim_27
10,KB_Chim_52_Chim_13,KB_Chim_23_Chim_5_Chim_12
9,KB_Chim_49,KB_Chim_27
8,KB_Chim_46_KB_Chim_75,KB_Mp_137
4,KB_Chim_40,KB_Mp_137
3,KB_Chim_37_KB_Chim_86,KB_Chim_30_Chim_4
2,KB_Chim_35_Chim_2,KB_Chim_31_Chim_19_Chim_9
83,KB_Chim_33,KB_Mu2_161
1,KB_Chim_30_Chim_4,KB_Na_192
77,KB_Chim_27,KB_Mp_133
73,KB_Bo_21,KB_Mu2_161
